Lake,Counted by,Rep,Julian,Date sampled,DentA,DentJ,DentM,DentE,DentTot,PulA,PulJ,PulM,PulE,PulTot,RetroA,RetroJ,RetroM,RetroE,RetroTot,CerioA,CerioJ,CerioE,CerioTot,DubiaA,DubiaJ,DubiaM,DubiaE,DubiaTot,ParvA,ParvJ,ParvM,ParvE,ParvTot,AmbA,AmbJ,AmbTot,MendA,MendJ,MendM,MendE,MendTot
North,CLS,2,294,10/21/2015,54180.44022,54180.44022,103200.8385,12900.10481,224461.8238,0,0,0,0,0,174151.415,112230.9119,0,0,286382.3269,0,0,0,0,0,0,0,0,0,2580.020963,2580.020963,0,0,5160.041925,0,0,0,0,0,0,0,0
Cedar,CLS,1,310,11/6/2015,61920.5031,3870.031444,81270.66032,27090.22011,174151.415,10320.08385,7740.062888,0,0,18060.14674,77400.62888,54180.44022,19350.15722,0,150931.2263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cedar,CLS,2,310,11/6/2015,27090.22011,0,112230.9119,11610.09433,150931.2263,7740.062888,0,0,0,7740.062888,81270.66032,46440.37733,27090.22011,0,154801.2578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cedar,CLS,1,211,7/30/2015,282512.2954,228331.8552,11610.09433,0,522454.2449,7740.062888,17415.1415,0,0,25155.20439,61920.5031,92880.75466,0,0,154801.2578,0,7740.062888,0,7740.062888,7740.062888,7740.062888,0,0,15480.12578,0,0,0,0,0,0,0,0,0,0,0,0,0
Cedar,CLS,2,211,7/30/2015,234781.9076,229621.8657,2580.020963,0,466983.7942,4644.037733,12384.10062,0,0,17028.13835,51600.41925,61920.5031,0,0,113520.9224,0,6192.05031,0,6192.05031,10320.08385,15480.12578,0,0,25800.20963,0,0,0,0,0,0,0,0,0,0,0,0,0
LilAp,CLS,1,202,7/21/2015,1010078.207,1737644.118,0,0,2747722.325,9675.07861,15480.12578,0,0,25155.20439,1935.015722,3870.031444,0,0,5805.047166,3870.031444,3870.031444,0,7740.062888,1935.015722,0,0,0,1935.015722,49020.39829,10320.08385,0,0,59340.48214,0,0,0,0,0,0,0,0
Walsh,CLS,2,292,10/19/2015,263162.1382,572764.6537,131581.0691,0,967507.861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3870.031444,0,0,3870.031444,3870.031444,0,0,0,3870.031444,0,0,0,0,0,0,0,0
Cedar,CLS,2,268,9/25/2015,139321.132,123841.0062,3870.031444,0,267032.1696,0,0,0,0,0,19350.15722,50310.40877,0,0,69660.56599,0,0,0,0,0,3870.031444,0,0,3870.031444,0,0,0,0,0,0,0,0,0,0,0,0,0
Cedar,CLS,1,268,9/25/2015,123841.0062,123841.0062,0,0,247682.0124,0,3870.031444,0,0,3870.031444,19350.15722,19350.15722,0,0,38700.31444,0,0,0,0,0,3870.031444,0,0,3870.031444,0,0,0,0,0,0,0,0,0,0,0,0,0
North,CLS,1,266,9/23/2015,28380.23059,38700.31444,0,0,67080.54503,0,0,0,0,0,51600.41925,49020.39829,0,0,100620.8175,0,0,0,0,0,0,0,0,0,0,2580.020963,0,0,2580.020963,0,0,0,0,0,0,0,0
North,CLS,2,266,9/23/2015,54180.44022,50310.40877,0,0,104490.849,0,0,0,0,0,34830.283,42570.34588,0,0,77400.62888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walsh,CLS,1,264,9/21/2015,158671.2892,75465.61316,1935.015722,0,236071.9181,0,0,0,0,0,11610.09433,11610.09433,0,0,23220.18866,3870.031444,3870.031444,0,7740.062888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walsh,CLS,2,264,9/21/2015,100620.8175,33540.27251,0,0,134161.0901,0,0,0,0,0,0,5160.041925,0,0,5160.041925,2580.020963,0,0,2580.020963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bishop,CLS,1,257,9/14/2015,61920.5031,54180.44022,3870.031444,0,119970.9748,0,0,0,0,0,116100.9433,100620.8175,0,0,216721.7609,0,0,0,0,0,11610.09433,0,0,11610.09433,0,0,0,0,0,0,0,0,0,0,0,0,0
North,CLS,1,280,10/7/2015,51600.41925,18060.14674,15480.12578,0,85140.69177,2580.020963,0,0,0,2580.020963,12900.10481,28380.23059,0,0,41280.3354,0,2580.020963,0,2580.020963,0,0,0,0,0,2580.020963,0,0,0,2580.020963,0,0,0,0,0,0,0,0
North,CLS,2,280,10/7/2015,49020.39829,28380.23059,5160.041925,0,82560.67081,0,0,0,0,0,15480.12578,41280.3354,0,0,56760.46118,0,2580.020963,0,2580.020963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walsh,CLS,1,278,10/5/2015,557284.5279,1195839.716,116100.9433,0,1869225.187,0,0,0,0,0,0,7740.062888,0,0,7740.062888,0,3870.031444,0,3870.031444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mill,CLS,1,278,10/5/2015,3096.025155,17028.13835,1548.012578,0,21672.17609,0,0,0,0,0,41796.3396,74304.60372,0,0,116100.9433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mill,CLS,2,278,10/5/2015,6192.05031,20124.16351,1548.012578,0,27864.2264,0,0,0,0,0,27864.2264,58824.47795,0,0,86688.70435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bishop,CLS,1,273,9/30/2015,15480.12578,29412.23897,1548.012578,0,46440.37733,0,0,0,0,0,29412.23897,71208.57857,0,0,100620.8175,0,0,0,0,4644.037733,7740.062888,1548.012578,0,13932.1132,0,0,0,0,0,0,0,0,0,0,0,0,0
Cedar,CLS,1,197,7/16/2015,126421.0272,121260.9852,0,0,247682.0124,10836.08804,32508.26413,0,0,43344.35217,25800.20963,41280.3354,0,0,67080.54503,0,0,0,0,1548.012578,0,0,0,1548.012578,0,0,0,0,0,0,0,0,0,0,0,0,0
Cedar,CLS,2,197,7/16/2015,183181.4883,159961.2997,0,0,343142.788,7740.062888,42570.34588,0,0,50310.40877,34830.283,29025.23583,0,0,63855.51883,1935.015722,3870.031444,0,5805.047166,3870.031444,7740.062888,0,0,11610.09433,0,0,0,0,0,0,0,0,0,0,0,0,0
Cedar,CLS,1,282,10/9/2015,278642.264,96750.7861,11610.09433,0,387003.1444,0,0,0,0,0,50310.40877,54180.44022,0,0,104490.849,0,0,0,0,3870.031444,3870.031444,0,0,7740.062888,0,0,0,0,0,0,0,0,0,0,0,0,0
Cedar,CLS,2,282,10/9/2015,237361.9286,43860.35637,12900.10481,0,294122.3897,2580.020963,0,0,0,2580.020963,20640.1677,23220.18866,0,0,43860.35637,0,0,0,0,0,2580.020963,0,0,2580.020963,0,0,0,0,0,0,0,0,0,0,0,0,0
Mill,CLS,1,292,10/19/2015,5160.041925,5160.041925,0,0,10320.08385,0,0,0,0,0,33540.27251,59340.48214,10320.08385,0,103200.8385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mill,CLS,2,292,10/19/2015,0,7740.062888,0,0,7740.062888,7740.062888,2580.020963,0,0,10320.08385,28380.23059,46440.37733,0,0,74820.60792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
